latency(ns),dynamic energy(pJ),idle energy(pJ),area(um^2),comment
0.5,0.03052,1.37E-05,71.5,32 bit comparator
1,0.02947,2.51E-05,71,
2,0.028966,4.84E-05,70,
3,0.02898,7.27E-05,70,
4,0.02898,9.69E-05,70,
5,0.029015,0.0001211,70,
6,0.02898,0.00014532,70,
10,0.02898,0.0002422,70,
