latency(ns),dynamic energy(pJ),idle energy(pJ),area(um^2),comment
2,0.6804,0.0003206,569.5,1to4 NoC 32bit data
3,0.6804,0.0004809,569.5,
4,0.68068,0.0006412,569.5,
5,0.68215,0.0008015,569.5,
6,0.67914,0.000961,569.5,
10,0.6811,0.001603,569.5,
